            beam1 [mas], beam2 [mas],   Region,      Gaia parallax [mas], distance [pc],  PA,          inc,     sp. type, log T_eff/ K,  log L_star/L_sun,   log M_star/M_sun,    log t_star/yr,  log M_dot/(1e-8 Msun/yr),      F_nu [mJy],
HT Lup,     NaN,         NaN,           Lup I,       6.49,                154,            NaN,         NaN,     K2,       3.69,          0.74,               0.23,                5.9,             NaN,                          77,
GW Lup,     45,          43,            Lup I,       6.42,                155,            37.7,        38.8,    M1.5,     3.56,         -0.48,              -0.34,                6.3,             -9.0,                         89,
IM Lup,     44,          43,            Lup II,      6.31,                158,            144.6,       47.4,    K5,       3.63,          0.41,              -0.05,                5.7,             -7.9,                         253,
RU Lup,     25,          24,            Lup II,      6.27,                159,            119,         18.6,    K7,       3.61,          0.16,              -0.20,                5.7,             -7.1,                         203,
Sz 114,     67,          28,            Lup III,     6.16,                162,            165,         21.4,    M5,       3.50,         -0.69,              -0.76,                6.0,             -9.1,                         49,
Sz 129,     44,          31,            Lup IV,      6.19,                161,            154.5,       31.8,    K7,       3.61,         -0.36,              -0.08,                6.6,             -8.3,                         86,
MY Lup,     44,          43,            Lup IV,      6.39,                156,            58.8,        73.2,    K0,       3.71,         -0.06,               0.09,                7.0,             NaN,                          79,
HD 142666,  32,          22,            Upper Sco,   6.74,                148,            162.16,      61.66,   A8,       3.88,          0.96,               0.20,                7.1,             NaN,                          120,
HD 143006,  46,          45,            Upper Sco,   6.02,                165,            168.6,       18.6,    G7,       3.75,          0.58,               0.25,                6.6,             -8.1,                         59,
AS 205,     NaN,         NaN,           Upper Sco,   7.82,                128,            NaN,         NaN,     K5,       3.63,          0.33,              -0.06,                5.8,             -7.4,                         358,
SR 4,       34,          34,            Oph L1688,   7.43,                134,            44,          24,      K7,       3.61,          0.07,              -0.17,                5.9,             -6.9,                         69,
Elias 20,   32,          23,            Oph L1688,   7.22,                138,            153.2,       49,      M0,       3.59,          0.35,              -0.32,                NaN,             -6.9,                         104,
DoAr 25,    48,          27,            Oph L1688,   7.22,                138,            110.3,       66.8,    K5,       3.63,         -0.02,              -0.02,                6.3,             -8.3,                         227,
Elias 24,   36,          34,            Oph L1688,   7.34,                136,            45.9,        28.9,    K5,       3.63,          0.78,              -0.11,                5.3,             -6.4,                         352,
Elias 27,   49,          47,            Oph L1688,   8.63,                116,            118.7,       55.9,    M0,       3.59,         -0.04,              -0.31,                5.9,             -7.2,                         330,
DoAr 33,    36,          24,            Oph L1688,   7.15,                139,            81.1,        41.8,    K4,       3.65,          0.18,               0.04,                6.2,             NaN,                          35,
WSB 52,     33,          27,            Oph L1688,   7.30,                136,            138.4,       54.4,    M1,       3.57,         -0.15,              -0.32,                5.8,             -7.6,                         67,
Wa Oph 6,    58,          54,            Oph N 3a,    8.07,                123,            174.2,       47.2,    K6,       3.62,          0.46,              -0.17,                5.5,             -6.6,                        161,
AS 209,     38,          36,            Oph N 3a,    8.27,                121,            85.82,       34.85,   K5,       3.63,          0.15,              -0.08,                6.0,             -7.3,                         288,
HD 163296,  48,          38,            isolated?,   9.85,                101,            133.31,      46.7,    A1,       3.97,          1.23,               0.31,                7.1,             -7.4,                         715,
